Appliance,utility,usage (hours/month),knapsack_utility,energy,energy_2
Air Conditioner,8.292700241,108,0.04038138,3500,4000
Alexa,0.643010914,720,0.269209198,,3.25
Blender/ Mixer,0.027574776,5,0.001869508,390,400
Bluetooth Speaker,0.06910513,150,0.05608525,30,95
Clothes Dryer,0.160880762,40,0.014956067,5000,4000
Clothes Washer,0.214085993,40,0.014956067,500,500
Coffee Machine,1.136091403,2,0.000747803,900,1400
Coffee/Tea Grinder,0.01387461,0.5,0.000186951,,150
Crock Pot,0.009601091,24,0.00897364,250,250
Curling iron,0.001640279,4,0.001495607,,35
Dishwasher,0.178102479,20,0.007478033,1500,1500
Hair Dryer,0.00218274,4,0.001495607,,2500
Heater,6.231775929,60,0.0224341,1200,3000
Range Hood,0.065828485,16,0.005982427,,30
Kettle,0.016896578,5,0.001869508,,3000
Laptop,1.502428951,18,0.00673023,100,65
Bathroom Lights,0.790839776,15,0.005608525,60,100
Bedroom Lights,0.013183405,90,0.03365115,60,100
Kitchen Lights,0.79153897,30,0.01121705,60,100
Living Room Lights,2.967907292,30,0.01121705,120,200
Laundry Room Lights,0.095210533,2,0.000747803,60,100
Microwave,0.305248933,60,0.0224341,1000,1700
Oven/Stove,0.850861374,16,0.005982427,1150,2150
Cell Phone,2.859409312,240,0.089736399,,7
Printer/Copy/Fax/Scanner,0.007535527,2,0.000747803,100,30
Electric Skillet,0.004467434,1,0.000373902,1150,1000
Tablet,1.397104537,8,0.002991213,,15
Television,0.706989943,90,0.03365115,170,150
Vacuum,0.101008728,4,0.001495607,800,900
Water Heater,3.816979302,150,0.05608525,3800,4500
WiFi Router,3.963192933,720,0.269209198,20,15
