Appliance,utility,usage (hours/month),knapsack_utility,energy_2
Laptop,6.386348327,28,0.01403931,65
Phone/ Cell Phone,5.888715295,60,0.030084236,7
Air Conditioner,3.876061434,108,0.054151625,4000
WiFi Router,3.758923383,720,0.36101083,15
Clothes Washer,2.741690766,20,0.010028079,500
Heater,2.020018511,60,0.030084236,3000
Water Heater,1.73302064,150,0.07521059,4500
Clothes Dryer,1.269416147,20,0.010028079,4000
Alexa,0.902024641,720,0.36101083,3.25
Television,0.678129727,80,0.040112314,150
Kettle (Coffee),0.642513616,1,0.000501404,3000
Flat Iron (Hair),0.589089449,15,0.007521059,35
Oven/Stove,0.553473337,12,0.006016847,2150
Coffee Grinder,0.483117037,0.4,0.000200562,150
