Appliance,utility,usage (hours/month),knapsack_utility,energy_2
Air Conditioner,8.117798389,108,0.0284067,4000
Lights Bathroom,1.774038426,15,0.003945375,100
Clothes Dryer,0.226382781,28,0.0073647,4000
Clothes Washer,0.40471333,28,0.0073647,500
Dishwasher,0.181663075,60,0.0157815,1500
Heater,6.100378768,60,0.0157815,3000
Laptop Charging ,2.731980701,30,0.00789075,65
Lights Bedroom,1.455329929,90,0.02367225,100
Lights Kitchen ,1.543567032,90,0.02367225,100
Lights Living Room ,1.381650539,30,0.00789075,200
Lights Basement,0.363423705,90,0.02367225,100
Microwave ,0.161967104,22.5,0.005918062,1700
guitar amp,0.799472084,20,0.0052605,50
Alexa - Echo Dot,0.144513856,720,0.189377998,3.25
Crock Pot,0.047879985,48,0.0126252,250
Record Player,0.451760443,4,0.0010521,50
Humidifier (central),0.002518389,360,0.094688999,300
pedal board,0.10876107,2,0.00052605,75
Toaster Oven,0.00648296,1.32,0.000347193,1500
wax melter,0.00080394,3,0.000789075,25
kettle,0.098183167,15,0.003945375,3000
living room sound system,0.005036337,20,0.0052605,50
Electric keyboard,0.600947306,4,0.0010521,20
Chargeable Toothbrush,1.02078565,0.5,0.000131512,1.4
Bedroom TV,0.224270369,60,0.0157815,150
Alexa - Fire TV,0.255401378,720,0.189377998,3.3
Oven/Stove ,0.79695207,60,0.0157815,2150
Phone/ Cell Phone Charging ,4.088295052,90,0.02367225,7
Living Room TV ,0.678505325,150,0.03945375,150
Toaster,0.017503545,0.6,0.000157815,1200
Vacuum ,0.063566916,2,0.00052605,900
Water Heater,2.342954209,150,0.03945375,4500
WiFi,2.968672969,720,0.189377998,15
